Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2024-09-26,181.7443538557564,336.6985044239773,137.77310271479408,142.80758679727705,237.9700753329909
2024-09-27,181.42834451175008,334.3099631661856,136.45468727662367,137.03618874973023,221.47037666973858
2024-09-30,183.67957883621708,331.37528908452725,139.95208739866766,136.8759968588534,226.57297243833568
2024-10-01,188.85282920678443,327.02636872978223,140.56149371687806,136.5983514021607,216.92684478134743
2024-10-02,188.1984993375628,327.50917281655956,146.18816420716777,141.23530460742387,217.55542113058175
2024-10-03,187.5464921811946,323.3841286730895,144.36160616920338,143.28715092461508,219.8415354467154
2024-10-04,193.01831688153848,325.00988068233676,149.20974706755902,140.15172570711752,230.48693329755073
2024-10-07,195.82940189447524,324.97614148749005,149.86034705670525,145.95961833026158,220.11301284313035
2024-10-08,194.3214099582526,323.9611861579454,148.095450431027,149.97536754985614,197.02691612570862
2024-10-09,196.36490960354075,319.48371258075446,146.8227431808077,151.99345851337145,198.45235346779697
2024-10-10,194.87420176530298,316.7590464435592,146.01718568608229,151.33492402879082,211.11716420012817
2024-10-11,193.38670056525058,320.80920984622,147.28157083488608,148.23896512141417,220.44075735349153
2024-10-14,194.37400172714422,323.6049578476751,148.83301638474276,147.12145840823214,222.23472176950435
2024-10-15,187.82572735200634,318.7700137375795,147.29999165493737,150.74100962115574,218.5884574645184
2024-10-16,182.13488561026463,319.49977931305597,147.32021045643108,157.08884901185482,224.93829714891976
2024-10-17,180.42806762774146,323.56451748011045,153.40499726432515,162.5243364549405,217.45367393413252
2024-10-18,177.274011764709,315.14844761410995,158.5323016130665,160.8820788597879,221.25313802015503
2024-10-21,178.40970920957193,318.10887746542124,159.9416775104663,157.02387184675243,225.3444305917619
2024-10-22,175.62751088863658,314.9589696774041,160.1531309779122,157.61263245101182,233.8866400631931
2024-10-23,171.2945226154852,318.0548836563287,160.61446731949684,151.5830562199051,256.66441587285874
2024-10-24,175.94203041894585,314.393389239148,162.5830933851282,152.75929370177806,260.39491993038627
2024-10-25,175.35896320865461,305.5343765987356,159.5211564374752,152.36253857239035,255.9646318766052
2024-10-28,175.70363259836657,297.7919280360088,158.83678607643444,150.89943112363747,255.94028940290625
2024-10-29,171.32940854941387,298.2294913292469,153.89647004781253,145.70344046931086,240.2978186668726
2024-10-30,169.7790677419124,299.67756252637986,155.15614948711914,147.44448036177337,234.64722517180843
2024-10-31,170.24538405242313,295.5512823887344,157.15715534620296,145.81235570717945,231.47364835742815
2024-11-01,166.84594390512007,298.7779574082534,155.80866165099212,142.15419048286816,227.4128844025039
2024-11-04,168.09938479194392,291.04429285207834,160.56172149783006,133.26390029144318,228.80747584159462
2024-11-05,166.40805343390124,290.94030948476893,156.91864867564166,133.2698534682423,222.40436781391136
2024-11-06,165.65913607014184,285.50663285420893,152.64683304506252,138.55260850613143,231.30856539848324
2024-11-07,163.9891728663014,282.7288309802247,153.38939647110286,143.7064472484304,231.49528860692308
2024-11-08,169.57972895907758,283.1411566968118,156.5330918659738,142.35472749928135,231.60513051939438
2024-11-11,169.66571435296726,279.44146053875727,161.63522947352337,140.5612479296651,229.1324411722991
2024-11-12,166.5627325926076,277.9176973541286,160.3229452117259,142.1022256183059,230.5603198336302
2024-11-13,169.15375055037302,282.58690502869086,163.70494745387668,139.07339062041936,237.4029902823551
2024-11-14,165.5634307831781,280.1763624550947,163.6833939098023,140.08715522525537,230.38783695849267
2024-11-15,166.31004647665,284.1187447262665,163.244735721768,142.53920802735965,225.26537602459263
2024-11-18,160.5683480826432,279.1820935523112,166.08348638949664,146.47935249334577,223.0509247925832
2024-11-19,156.85001082698062,281.74411045080825,168.24159758140246,146.2518129784747,212.72244413779208
2024-11-20,157.5234467006956,288.4397868270207,163.30346257674066,145.69154824208155,206.79301339263543
2024-11-21,159.73545370289585,277.23496487413735,167.9828035374324,142.9721256157676,203.51167757152248
